Manufacturer;Model Name;Screen Size;RAM; Storage;Operating System;Color
Dell;Inspiron 5570;"15.6""";8GB;256GB;Windows;Белый
Dell;Latitude 5590;"15.6""";8GB;256GB;Windows;Серый
HP;ProBook 470;"17.3""";8GB;1TB;Windows;Синий
Chuwi;"LapBook 15.6""";"15.6""";4GB;64GB;Windows;Белый
Asus;E402WA-GA010T (E2-6110/2GB/32GB/W10);"14.0""";2GB;32GB;Windows;Синий
HP;17-ak001nv (A6-9220/4GB/500GB/Radeon;"17.3""";4GB;500GB;Windows;Серебристый
Dell;XPS 13;"13.3""";16GB;512GB;Windows;Серебристый
Apple;MacBook Air;"13.3""";8GB;256GB;Mac OS;Желтый
Lenovo;IdeaPad 120S-14IAP;"14.0""";4GB;64GB;Windows;Синий
Acer;Aspire 3;"15.6""";4GB;1TB;Linux;Синий
Dell;Inspiron 5770;"17.3""";8GB;128GB;Windows;Красный
HP;250 G6;"15.6""";4GB;1TB;Windows;Желтый
HP;ProBook 450;"15.6""";8GB;256GB;Windows;Черный
Asus;X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux);"15.6""";4GB;1TB;Linux;Черный
Dell;Inspiron 7577;"15.6""";16GB;256GB;Windows;Серый
Asus;X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce;"15.6""";8GB;1TB;Linux;Серебристый
Acer;Aspire A515-51G;"15.6""";4GB;256GB;Windows;Белый
Dell;Inspiron 7773;"17.3""";12GB;1TB;Windows;Серый
Apple;MacBook Pro;"13.3""";8GB;256GB;macOS;Черный
Lenovo;IdeaPad 320-15ISK;"15.6""";4GB;128GB;No OS;Синий
Asus;Rog Strix;"17.3""";8GB;256GB;Windows;Голубой
Dell;Inspiron 3567;"15.6""";4GB;256GB;Windows;Белый
Asus;X751NV-TY001T (N4200/4GB/1TB/GeForce;"17.3""";4GB;1TB;Windows;Черный
Lenovo;Yoga Book;"10.1""";4GB;64GB;Android;Белый
Acer;Aspire A515-51G;"15.6""";8GB;256GB;Windows;Желтый
HP;255 G6;"15.6""";4GB;256GB;Windows;Черный
HP;ProBook 430;"13.3""";8GB;512GB;Windows;Голубой
Acer;Aspire 3;"15.6""";4GB;1TB;Windows;Синий
Dell;Inspiron 3576;"15.6""";8GB;256GB;Windows;Синий
HP;15-bs002nv (i3-6006U/4GB/128GB/FHD/W10);"15.6""";4GB;128GB;Windows;Серебристый
Asus;VivoBook Max;"15.6""";4GB;256GB;Windows;Черный
MSI;GS73VR 7RG;"17.3""";16GB;256GB;Windows;Голубой
Asus;X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux);"15.6""";4GB;256GB;Linux;Черный
Dell;Inspiron 5770;"17.3""";16GB;256GB;Windows;Голубой
Dell;Vostro 5471;"14.0""";8GB;256GB;Windows;Красный
Lenovo;IdeaPad 520S-14IKB;"14.0""";8GB;256GB;No OS;Белый
Asus;UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10);"14.0""";8GB;256GB;Windows;Синий
HP;250 G6;"15.6""";8GB;256GB;Windows;Белый
Asus;ZenBook Pro;"15.6""";16GB;512GB;Windows;Белый
HP;250 G6;"15.6""";4GB;500GB;Windows;Серебристый
HP;Stream 14-AX040wm;"14.0""";4GB;32GB;Windows;Серый
Lenovo;V310-15ISK (i5-7200U/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Белый
Asus;FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce;"17.3""";12GB;1TB;Linux;Серебристый
Microsoft;Surface Laptop;"13.5""";4GB;128GB;Windows;Серый
Dell;Inspiron 5370;"13.3""";8GB;256GB;Windows;Белый
Dell;Inspiron 5570;"15.6""";8GB;256GB;Windows;Голубой
MSI;GL72M 7RDX;"17.3""";8GB;128GB;Windows;Белый
Acer;Aspire E5-475;"14.0""";8GB;1TB;Windows;Серый
Asus;FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce;"15.6""";8GB;1TB;Windows;Синий
Lenovo;IdeaPad 320-15IKBN;"15.6""";8GB;2TB;No OS;Желтый
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Голубой
Acer;Aspire A515-51G-32MX;"15.6""";4GB;1TB;Windows;Белый
HP;ProBook 470;"17.3""";8GB;128GB;Windows;Синий
Dell;Latitude 5590;"15.6""";8GB;256GB;Windows;Красный
Apple;"MacBook 12""";"12.0""";8GB;512GB;macOS;Красный
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Желтый
Lenovo;IdeaPad 320-15AST;"15.6""";4GB;128GB;Windows;Голубой
Acer;Aspire 3;"15.6""";4GB;1TB;Windows;Черный
Dell;Inspiron 7577;"15.6""";16GB;128GB;Windows;Красный
HP;Pavilion 15-CK000nv;"15.6""";8GB;256GB;Windows;Черный
HP;250 G6;"15.6""";8GB;256GB;Windows;Серебристый
Asus;FX503VM-E4007T (i7-7700HQ/16GB/1TB;"15.6""";16GB;128GB;Windows;Черный
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Синий
Asus;FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon;"15.6""";8GB;1TB;Windows;Белый
Acer;Aspire 5;"15.6""";8GB;1TB;Windows;Голубой
HP;Probook 430;"13.3""";16GB;512GB;Windows;Красный
Dell;Inspiron 7577;"15.6""";8GB;256GB;Windows;Синий
Asus;Zenbook UX430UA;"14.0""";8GB;256GB;Windows;Серый
Acer;Spin 5;"13.3""";8GB;256GB;Windows;Синий
Dell;Inspiron 3567;"15.6""";8GB;1TB;Linux;Синий
Dell;Inspiron 3567;"15.6""";4GB;256GB;Linux;Синий
Asus;X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce;"15.6""";6GB;256GB;Windows;Серебристый
HP;Omen 15-ce007nv;"15.6""";12GB;128GB;Windows;Серый
HP;15-bs017nv (i7-7500U/8GB/256GB/Radeon;"15.6""";8GB;256GB;Windows;Белый
HP;15-bw000nv (E2-9000e/4GB/500GB/Radeon;"15.6""";4GB;500GB;Windows;Серый
Dell;Inspiron 3576;"15.6""";8GB;1TB;Linux;Красный
HP;Envy 13-ad009n;"13.3""";8GB;256GB;Windows;Белый
Microsoft;Surface Laptop;"13.5""";8GB;256GB;Windows;Красный
HP;Pavilion 14-BK001nv;"14.0""";6GB;256GB;Windows;Красный
Lenovo;Ideapad 310-15ISK;"15.6""";4GB;1TB;Windows;Синий
Asus;UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce;"14.0""";8GB;256GB;Windows;Серебристый
MSI;GP62M 7REX;"15.6""";16GB;256GB;Windows;Желтый
Lenovo;Thinkpad T470;"14.0""";8GB;256GB;Windows;Желтый
Asus;VivoBook S15;"15.6""";16GB;256GB;Windows;Голубой
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Желтый
Lenovo;ThinkPad Yoga;"13.3""";8GB;256GB;Windows;Черный
HP;Probook 440;"14.0""";4GB;500GB;Windows;Белый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Красный
HP;Spectre x360;"13.3""";8GB;256GB;Windows;Белый
HP;Probook 440;"14.0""";8GB;512GB;Windows;Черный
Dell;Inspiron 7570;"15.6""";8GB;256GB;Windows;Синий
Asus;X705UV-BX074T (i3-6006U/4GB/1TB/GeForce;"17.3""";4GB;1TB;Windows;Серебристый
Asus;VivoBook S15;"15.6""";8GB;256GB;Windows;Красный
Acer;Spin 3;"15.6""";6GB;1TB;Windows;Черный
MSI;GS63VR 7RG;"15.6""";16GB;256GB;Windows;Серебристый
Lenovo;IdeaPad 320-15IKBN;"15.6""";8GB;256GB;No OS;Черный
HP;Probook 470;"17.3""";16GB;512GB;Windows;Желтый
Acer;Aspire 3;"15.6""";4GB;256GB;Windows;Белый
HP;250 G6;"15.6""";4GB;500GB;No OS;Синий
HP;Probook 440;"14.0""";8GB;1TB;Windows;Серебристый
Asus;E402WA-GA007T (E2-6110/4GB/64GB/W10;"14.0""";4GB;64GB;Windows;Синий
Dell;Inspiron 5770;"17.3""";16GB;256GB;Windows;Серый
HP;ProBook 470;"17.3""";8GB;256GB;Windows;Желтый
Dell;Inspiron 5567;"15.6""";8GB;1TB;Windows;Желтый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Windows;Голубой
Acer;Swift 3;"14.0""";8GB;256GB;Windows;Красный
Acer;Aspire A515-51G-37JS;"15.6""";4GB;256GB;Windows;Серебристый
HP;15-BS078nr (i7-7500U/8GB/1TB/W10);"15.6""";8GB;1TB;Windows;Синий
HP;Probook 440;"14.0""";8GB;256GB;Windows;Черный
Lenovo;V110-15IAP (N3350/4GB/1TB/No;"15.6""";4GB;1TB;No OS;Красный
Asus;FX753VD-GC086T (i5-7300HQ/8GB/1TB;"17.3""";8GB;128GB;Windows;Серый
Lenovo;IdeaPad 320-15IKBN;"15.6""";4GB;1TB;No OS;Голубой
HP;Envy 13-AD007nv;"13.3""";4GB;256GB;Windows;Голубой
Acer;Aspire 5;"17.3""";4GB;1TB;Windows;Красный
Lenovo;ThinkPad E480;"14.0""";8GB;256GB;Windows;Синий
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;256GB;No OS;Синий
Toshiba;Satellite Pro;"15.6""";4GB;500GB;Windows;Серебристый
HP;255 G6;"15.6""";4GB;256GB;Windows;Красный
Asus;ZenBook UX430UA;"14.0""";8GB;256GB;Windows;Серебристый
HP;EliteBook Folio;"12.5""";8GB;512GB;Windows;Голубой
Asus;X541NA (N3350/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Белый
MSI;GE72MVR 7RG;"17.3""";16GB;256GB;Windows;Красный
Acer;Aspire A315-51;"15.6""";4GB;1TB;Windows;Серебристый
Dell;Inspiron 5577;"15.6""";16GB;512GB;Windows;Синий
Dell;Inspiron 7567;"15.6""";8GB;1TB;Windows;Серебристый
Lenovo;V110-15IKB (i5-7200U/4GB/128GB/W10);"15.6""";4GB;128GB;Windows;Голубой
MSI;GE73VR 7RE;"17.3""";16GB;256GB;Windows;Черный
HP;EliteBook 840;"14.0""";4GB;256GB;Windows;Синий
HP;15-BS103nv (i5-8250U/6GB/256GB/Radeon;"15.6""";6GB;256GB;Windows;Синий
Lenovo;Yoga 520-14IKB;"14.0""";4GB;256GB;Windows;Белый
Asus;ZenBook Flip;"13.3""";8GB;256GB;Windows;Желтый
Dell;Inspiron 5579;"15.6""";8GB;256GB;Windows;Красный
Toshiba;Satellite Pro;"15.6""";4GB;500GB;Windows;Черный
Asus;X555BP-XX180T (A9-9420/4GB/1TB/Radeon;"15.6""";4GB;1TB;Windows;Серый
Acer;Aspire A517-51G;"17.3""";4GB;256GB;Windows;Серебристый
Dell;Inspiron 3576;"15.6""";8GB;256GB;Windows;Серый
Lenovo;Legion Y520-15IKBN;"15.6""";16GB;256GB;Windows;Желтый
Acer;Aspire A315-31;"15.6""";4GB;1TB;Windows;Красный
MSI;GE63VR 7RE;"15.6""";16GB;256GB;Windows;Серебристый
Acer;Aspire 3;"15.6""";4GB;1TB;Windows;Черный
Dell;Inspiron 5577;"15.6""";8GB;128GB;Windows;Серый
Acer;Aspire A517-51G;"17.3""";8GB;256GB;Windows;Синий
HP;ProBook 430;"13.3""";4GB;500GB;Windows;Синий
Huawei;MateBook X;"13.0""";8GB;256GB;Windows;Черный
HP;17-bs001nv (i5-7200U/6GB/2TB/Radeon;"17.3""";6GB;2TB;Windows;Белый
Lenovo;IdeaPad 320-15AST;"15.6""";4GB;500GB;No OS;Черный
Toshiba;Satellite Pro;"15.6""";4GB;500GB;Windows;Белый
HP;ProBook 470;"17.3""";8GB;256GB;Windows;Черный
Dell;Inspiron 3567;"15.6""";8GB;1TB;Windows;Белый
Acer;Aspire A315-51;"15.6""";4GB;128GB;Windows;Серый
MSI;GT80S 6QF-074US;"18.4""";32GB;512GB;Windows;Красный
Lenovo;V310-15IKB (i5-7200U/8GB/1TB;"15.6""";8GB;128GB;Windows;Синий
HP;Spectre x360;"13.3""";8GB;256GB;Windows;Серый
Dell;Inspiron 5570;"15.6""";16GB;256GB;Linux;Серый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Синий
Lenovo;Yoga 920-13IKB;"13.9""";16GB;512GB;Windows;Красный
Toshiba;Satellite Pro;"15.6""";8GB;128GB;Windows;Серебристый
Xiaomi;Mi Notebook;"15.6""";8GB;256GB;No OS;Синий
Dell;Inspiron 7773;"17.3""";16GB;512GB;Windows;Белый
Dell;XPS 15;"15.6""";16GB;512GB;Windows;Серый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;256GB;No OS;Серый
Acer;Swift 7;"13.3""";8GB;256GB;Windows;Черный
Dell;Inspiron 5770;"17.3""";8GB;128GB;Windows;Белый
Lenovo;Thinkpad Yoga;"14.0""";16GB;1TB;Windows;Белый
Vero;K147 (N3350/4GB/32GB/FHD/W10);"14.0""";4GB;32GB;Windows;Голубой
Xiaomi;Mi Notebook;"13.3""";8GB;256GB;No OS;Серый
Lenovo;IdeaPad 320-17IKBR;"17.3""";8GB;256GB;No OS;Серебристый
Dell;Inspiron 5379;"13.3""";8GB;1TB;Windows;Белый
HP;ProBook 470;"17.3""";8GB;1TB;Windows;Серебристый
Razer;Blade Pro;"17.3""";32GB;1TB;Windows;Красный
HP;ProBook 430;"13.3""";8GB;512GB;Windows;Синий
HP;Omen 17-W295;"17.3""";16GB;256GB;Windows;Желтый
HP;Probook 470;"17.3""";8GB;256GB;Windows;Синий
Dell;Inspiron 7577;"15.6""";16GB;512GB;Windows;Серебристый
Lenovo;V110-15ISK (i5-6200U/4GB/128GB/W10);"15.6""";4GB;128GB;Windows;Синий
Acer;Aspire E5-576G;"15.6""";8GB;1TB;Windows;Красный
Lenovo;Legion Y720-15IKB;"15.6""";16GB;512GB;Windows;Красный
Dell;Precision 7520;"15.6""";16GB;256GB;Windows;Черный
Lenovo;Legion Y520-15IKBN;"15.6""";16GB;512GB;No OS;Серый
Dell;Inspiron 3567;"15.6""";6GB;1TB;Windows;Серый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Белый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 320-15IKBN;"15.6""";8GB;256GB;Windows;Голубой
Acer;Aspire 7;"15.6""";8GB;1TB;Linux;Желтый
Asus;ROG GL703VD-GC028T;"17.3""";16GB;256GB;Windows;Серебристый
HP;15-bs018nq (i3-6006U/4GB/500GB/FHD/No;"15.6""";4GB;500GB;No OS;Голубой
Lenovo;IdeaPad 320-15IKBN;"15.6""";8GB;256GB;No OS;Желтый
Huawei;MateBook X;"13.0""";8GB;512GB;Windows;Желтый
Dell;Inspiron 5370;"13.3""";8GB;256GB;Windows;Черный
Lenovo;IdeaPad 320-17IKB;"17.3""";8GB;1TB;No OS;Серый
HP;Probook 440;"14.0""";8GB;256GB;Windows;Серый
Dell;Latitude 5490;"14.0""";8GB;256GB;Windows;Черный
Dell;Inspiron 5379;"13.3""";16GB;512GB;Windows;Белый
Dell;Inspiron 3576;"15.6""";8GB;256GB;Linux;Синий
Lenovo;Yoga 520-14IKB;"14.0""";8GB;256GB;Windows;Серебристый
Toshiba;Portege Z30-C-16L;"13.3""";8GB;256GB;Windows;Белый
HP;ProBook 450;"15.6""";8GB;1TB;Windows;Серебристый
Dell;Alienware 17;"17.3""";16GB;256GB;Windows;Белый
Acer;Aspire E5-576G;"15.6""";8GB;256GB;Windows;Голубой
Dell;Inspiron 5567;"15.6""";16GB;1TB;Windows;Голубой
Asus;Vivobook X541UV-DM1217T;"15.6""";8GB;256GB;Windows;Серый
Asus;K756UX-T4340T (i5-7200U/8GB/500GB;"17.3""";8GB;256GB;Windows;Желтый
HP;ZBook 15u;"15.6""";8GB;1TB;Windows;Синий
Asus;Pro P2540UA-XO0198T;"15.6""";4GB;1TB;Windows;Серебристый
HP;15-rb013nv (E2-9000e/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Желтый
Lenovo;Legion Y720-15IKB;"15.6""";16GB;256GB;Windows;Синий
Dell;Vostro 5468;"14.0""";8GB;256GB;Windows;Красный
Acer;Aspire R7;"13.3""";8GB;256GB;Windows;Желтый
Dell;Inspiron 5567;"15.6""";16GB;256GB;Linux;Белый
Acer;Aspire A315-51;"15.6""";4GB;1TB;Linux;Серый
Asus;X555QG-DM242T (A10-9620P/4GB/1TB;"15.6""";4GB;128GB;Windows;Черный
Asus;ROG G703VI-E5062T;"17.3""";32GB;512GB;Windows;Голубой
Acer;Nitro AN515-51;"15.6""";8GB;256GB;Windows;Красный
Lenovo;IdeaPad 320-15ISK;"15.6""";8GB;128GB;Windows;Голубой
Asus;VivoBook Pro;"17.3""";8GB;128GB;Windows;Серебристый
Asus;F756UX-T4201D (i7-7500U/8GB/128GB;"17.3""";8GB;128GB;No OS;Красный
Dell;Inspiron 5577;"15.6""";8GB;256GB;Windows;Черный
Lenovo;Yoga 910-13IKB;"13.9""";8GB;256GB;Windows;Серебристый
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Черный
HP;15-bs015dx (i5-7200U/8GB/1TB/W10);"15.6""";8GB;1TB;Windows;Серый
Asus;Rog G701VIK-BA060T;"17.3""";16GB;256GB;Windows;Синий
HP;ProBook 430;"13.3""";4GB;500GB;Windows;Белый
Apple;MacBook Pro;"13.3""";8GB;512GB;macOS;Красный
Dell;Inspiron 5579;"15.6""";8GB;1TB;Windows;Красный
Asus;ROG G752VSK-GC493T;"17.3""";16GB;256GB;Windows;Желтый
Asus;X505BP-BR019T (A9-9420/4GB/1TB/Radeon;"15.6""";4GB;1TB;Windows;Голубой
Lenovo;Yoga 920-13IKB;"13.9""";8GB;512GB;Windows;Желтый
Acer;Aspire 5;"17.3""";4GB;256GB;Windows;Красный
Dell;Vostro 5370;"13.3""";8GB;256GB;Windows;Серый
HP;15-BW094nd (A6-9220/8GB/128GB/W10);"15.6""";8GB;128GB;Windows;Синий
HP;Envy 17-U275cl;"17.3""";16GB;1TB;Windows;Желтый
MSI;GT73EVR 7RE;"17.3""";16GB;512GB;Windows;Серый
Lenovo;Yoga 720-15IKB;"15.6""";8GB;512GB;Windows;Красный
Dell;Inspiron 5770;"17.3""";8GB;128GB;Windows;Белый
Lenovo;IdeaPad 320-15ISK;"15.6""";4GB;256GB;No OS;Белый
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Серебристый
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Синий
Dell;Inspiron 3567;"15.6""";8GB;1TB;Windows;Черный
Dell;Inspiron 5579;"15.6""";8GB;256GB;Windows;Черный
Asus;ZenBook Flip;"13.3""";8GB;512GB;Windows;Красный
Lenovo;IdeaPad 320-15IKBN;"15.6""";4GB;1TB;No OS;Голубой
HP;Probook 470;"17.3""";8GB;1TB;Windows;Белый
Lenovo;V330-15IKB (i7-8550U/8GB/256GB/FHD/W10);"15.6""";8GB;256GB;Windows;Серый
Apple;MacBook Pro;"13.3""";8GB;512GB;macOS;Желтый
Asus;Rog Strix;"17.3""";16GB;256GB;Windows;Красный
Dell;Inspiron 3576;"15.6""";8GB;256GB;Linux;Красный
Lenovo;ThinkPad X1;"14.0""";16GB;512GB;Windows;Голубой
Toshiba;Satellite Pro;"15.6""";8GB;500GB;Windows;Красный
Dell;Inspiron 5567;"15.6""";12GB;1TB;Windows;Красный
Dell;Inspiron 5770;"17.3""";8GB;128GB;Linux;Голубой
Acer;Aspire A515-51G;"15.6""";8GB;1TB;Windows;Белый
Lenovo;IdeaPad 320-17ISK;"17.3""";4GB;1TB;Windows;Черный
Lenovo;IdeaPad 320-17IKBR;"17.3""";8GB;2TB;No OS;Синий
Lenovo;IdeaPad 320-17IKB;"17.3""";6GB;128GB;Windows;Серебристый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Linux;Красный
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;256GB;Windows;Серый
Lenovo;Ideapad 320-15IKBN;"15.6""";6GB;256GB;Windows;Красный
Acer;Aspire A517-51G;"15.6""";8GB;256GB;Windows;Желтый
Acer;SP315-51 (i7-7500U/12GB/1TB/FHD/W10);"15.6""";12GB;1TB;Windows;Белый
Lenovo;Thinkpad T570;"15.6""";8GB;256GB;Windows;Серебристый
Asus;VivoBook S15;"15.6""";8GB;256GB;Windows;Желтый
Lenovo;Legion Y520-15IKBN;"15.6""";16GB;256GB;Windows;Черный
Lenovo;IdeaPad 320-15IKB;"15.6""";8GB;1TB;No OS;Черный
Acer;Chromebook C910-C2ST;"15.6""";2GB;16GB;Chrome OS;Серый
Asus;FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce;"17.3""";8GB;1TB;Windows;Синий
HP;17-BS037cl (i3-6006U/8GB/1TB/W10);"17.3""";8GB;1TB;Windows;Голубой
Dell;XPS 15;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;V330-15IKB (i5-8250U/8GB/256GB/FHD/W10);"15.6""";8GB;256GB;Windows;Синий
Lenovo;Legion Y720-15IKB;"15.6""";8GB;1TB;Windows;Серый
Acer;Aspire A715-71G;"15.6""";8GB;256GB;Linux;Белый
Dell;Precision 7720;"17.3""";16GB;256GB;Windows;Белый
Lenovo;IdeaPad 310-15ABR;"15.6""";6GB;1TB;Windows;Белый
Asus;ZenBook UX530UQ-PRO;"15.6""";16GB;512GB;Windows;Белый
Asus;VivoBook S14;"14.0""";4GB;128GB;Windows;Серебристый
Asus;Rog GL702VS-GC095T;"17.3""";16GB;256GB;Windows;Желтый
Lenovo;IdeaPad 320-17IKB;"17.3""";6GB;1TB;Windows;Белый
Lenovo;IdeaPad 320-15IKBN;"15.6""";8GB;2TB;No OS;Черный
Asus;GL553VE-FY082T (i7-7700HQ/8GB/1TB;"15.6""";8GB;128GB;Windows;Серебристый
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;1TB;No OS;Белый
HP;EliteBook x360;"13.3""";16GB;256GB;Windows;Черный
Toshiba;Satellite Pro;"15.6""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 320-15IKB;"15.6""";8GB;128GB;Windows;Синий
HP;250 G6;"15.6""";4GB;1TB;Windows;Желтый
Lenovo;IdeaPad 720S-13IKB;"13.3""";8GB;256GB;Windows;Серый
Dell;XPS 13;"13.3""";16GB;1TB;Windows;Черный
MSI;GE63VR 7RF;"15.6""";16GB;256GB;Windows;Белый
Acer;ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10);"15.6""";8GB;256GB;Windows;Белый
Asus;VivoBook Flip;"11.6""";2GB;32GB;Windows;Голубой
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Красный
HP;Spectre x360;"13.3""";16GB;1TB;Windows;Синий
Lenovo;ThinkPad 13;"13.3""";4GB;16GB;Chrome OS;Красный
HP;ProBook 640;"14.0""";8GB;256GB;Windows;Синий
Acer;TravelMate B;"11.6""";4GB;128GB;Windows;Серебристый
HP;Elitebook 840;"14.0""";8GB;256GB;Windows;Белый
Lenovo;IdeaPad 320-17IKB;"17.3""";4GB;1TB;Windows;Синий
Asus;ZenBook UX410UA-GV183T;"14.0""";8GB;256GB;Windows;Голубой
HP;ProBook 450;"15.6""";8GB;1TB;Windows;Черный
Acer;Aspire 5;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;IdeaPad 120S-14IAP;"14.0""";4GB;32GB;Windows;Серый
Acer;Aspire E5-575;"15.6""";6GB;1TB;Windows;Черный
Asus;VivoBook S15;"15.6""";8GB;256GB;Windows;Черный
HP;Elitebook 820;"12.5""";8GB;256GB;Windows;Красный
Dell;XPS 15;"15.6""";32GB;1TB;Windows;Красный
MSI;GL72M 7REX;"17.3""";8GB;256GB;Windows;Желтый
Toshiba;Satellite Pro;"15.6""";8GB;256GB;Windows;Синий
Asus;UX510UX-CN269T (i7-7500U/8GB/256GB;"14.0""";8GB;256GB;Windows;Желтый
Lenovo;V310-15ISK (i3-6006U/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Белый
Asus;FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce;"15.6""";8GB;256GB;Windows;Белый
HP;EliteBook 840;"14.0""";8GB;256GB;Windows;Серебристый
Dell;Inspiron 7570;"15.6""";8GB;128GB;Windows;Красный
HP;Elitebook 850;"15.6""";8GB;256GB;Windows;Серебристый
Asus;X541NA (N3350/4GB/1TB/Linux);"15.6""";4GB;1TB;Linux;Желтый
Dell;Inspiron 7570;"15.6""";8GB;256GB;Windows;Серебристый
Dell;Inspiron 3552;"15.6""";4GB;500GB;Linux;Красный
Lenovo;IdeaPad 320-15ABR;"15.6""";12GB;2TB;Windows;Серый
HP;ProBook 450;"15.6""";8GB;1TB;Windows;Красный
Lenovo;Yoga 920-13IKB;"13.9""";16GB;512GB;Windows;Черный
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Белый
Lenovo;Legion Y520-15IKBN;"15.6""";16GB;256GB;Windows;Серебристый
HP;Stream 14-AX001nv;"14.0""";2GB;32GB;Windows;Серебристый
Dell;Latitude 5590;"15.6""";16GB;512GB;Windows;Синий
Asus;VivoBook Flip;"11.6""";4GB;32GB;Windows;Голубой
Dell;Inspiron 5570;"15.6""";8GB;1TB;Windows;Черный
Dell;XPS 15;"15.6""";16GB;512GB;Windows;Черный
HP;Elitebook 850;"15.6""";8GB;256GB;Windows;Желтый
MSI;GP72MVR 7RFX;"17.3""";8GB;128GB;Windows;Белый
HP;Zbook 15;"15.6""";8GB;256GB;Windows;Голубой
Toshiba;Tecra A50-C-21G;"15.6""";16GB;512GB;Windows;Белый
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Голубой
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;1TB;No OS;Желтый
Dell;Inspiron 7577;"15.6""";8GB;1TB;Windows;Черный
Dell;Inspiron 3567;"15.6""";8GB;2TB;Windows;Белый
Dell;Latitude 7480;"14.0""";8GB;256GB;Windows;Красный
